rssi,node,millis
-70.0,192.168.4.7,1168
-70.50024987506247,192.168.4.7,1184
-70.66711063012296,192.168.4.7,1200
-70.49975012493753,192.168.4.7,1264
-70.19800434926762,192.168.4.7,1280
-69.9965122055397,192.168.4.7,1296
-69.99701691343779,192.168.4.7,1312
-69.99739629168533,192.168.4.7,1328
-69.65685070005486,192.168.4.7,1376
-69.69213614703263,192.168.4.7,1392
-69.62703245540293,192.168.4.7,1408
-69.74621932059631,192.168.4.7,1424
-70.5739203071337,192.168.4.7,1456
-70.60610963508601,192.168.4.7,1472
-70.63411711719091,192.168.4.7,1504
-70.59146935773818,192.168.4.7,1520
-70.4897836733175,192.168.4.7,1552
-70.52087604593663,192.168.4.7,1568
-70.49049498854522,192.168.4.7,1584
-70.46302516543888,192.168.4.7,1600
-70.33019410706342,192.168.4.7,1616
-70.31300095070925,192.168.4.7,1632
-70.90197160992977,192.168.4.7,1664
-70.85788052178007,192.168.4.7,1696
-70.81712011031115,192.168.4.7,1712
-70.87184996641027,192.168.4.7,1728
-70.83249913723732,192.168.4.7,1744
-70.75168537182084,192.168.4.7,1760
-70.67609306821872,192.168.4.7,1776
-70.60521628156546,192.168.4.7,1792
-70.53861442660416,192.168.4.7,1808
-70.92425109097714,192.168.4.7,1824
-70.9673725846486,192.168.4.7,1872
-71.00812390497433,192.168.4.7,1888
-71.0466980492396,192.168.4.7,1936
-71.083266620399,192.168.4.7,1952
-71.11798273512753,192.168.4.7,2048
-71.15098347193813,192.168.4.7,2064
-71.55233138260132,192.168.4.7,2112
-71.53211426305162,192.168.4.7,2176
-71.54907066807996,192.168.4.7,2208
-71.52935715213144,192.168.4.7,2224
-71.47492728788733,192.168.4.7,2240
-71.45816308757135,192.168.4.7,2320
-71.44211499554106,192.168.4.7,2384
-71.32241813890498,192.168.4.7,2400
-71.20766638300708,192.168.4.7,2416
-71.16622050906945,192.168.4.7,2448
-71.09232184353345,192.168.4.7,2464
-73.0,192.168.4.3,2560
-71.15703587230894,192.168.4.7,2640
-71.15173677967528,192.168.4.7,2672
-72.49975012493753,192.168.4.3,2672
-71.14664178813823,192.168.4.7,2688
-72.66677774075309,192.168.4.3,2688
-72.49950074875213,192.168.4.3,2704
-71.14174070246317,192.168.4.7,2736
-72.80139724666292,192.168.4.3,2736
-72.83480020930209,192.168.4.3,2752
-73.00341265017607,192.168.4.3,2768
-71.07047062608376,192.168.4.7,2768
-71.06813517664357,192.168.4.7,2784
-73.25733146683207,192.168.4.3,2784
-73.11448125732335,192.168.4.3,2800
-73.102709348315,192.168.4.3,2848
-71.06588578644376,192.168.4.7,2864
-71.32687664275421,192.168.4.7,2880
-72.99898633127901,192.168.4.3,2896
-71.25059330208944,192.168.4.7,2896
-72.9990743275304,192.168.4.3,2912
-72.99914904923942,192.168.4.3,2928
-71.17704493585826,192.168.4.7,2928
-72.99921333658651,192.168.4.3,2944
-71.10611203958042,192.168.4.7,2944
-71.07017327509203,192.168.4.7,2960
