rssi,node,millis
-68.0,192.168.4.5,22768
-66.99950024987507,192.168.4.5,22816
-67.33355548150617,192.168.4.5,22832
-68.00249625611471,192.168.4.5,22864
-69.00798084887298,192.168.4.5,22896
-68.83844872471978,192.168.4.5,22912
-69.29594698530045,192.168.4.5,22928
-69.89419157253823,192.168.4.5,22944
-69.67898526447652,192.168.4.5,22960
-69.91765118160949,192.168.4.5,23008
-69.83133510086833,192.168.4.5,23024
-69.75916717163531,192.168.4.5,23040
-69.69788602699649,192.168.4.5,23056
-69.720710033676,192.168.4.5,23072
-69.59835934991042,192.168.4.5,23088
-69.62537182657616,192.168.4.5,23104
-69.58541418498312,192.168.4.5,23120
-69.67161846140881,192.168.4.5,23136
-69.6907719211389,192.168.4.5,23152
-69.70809001984368,192.168.4.5,23168
-69.72383273825298,192.168.4.5,23184
-69.68614287893439,192.168.4.5,23232
-69.60116908208906,192.168.4.5,23248
-69.52289911620127,192.168.4.5,23264
-69.498054650577,192.168.4.5,23280
-69.47501050248286,192.168.4.5,23296
-69.49870583176003,192.168.4.5,23312
-69.47671275395676,192.168.4.5,23328
-69.4561406718878,192.168.4.5,23344
-69.43685189508996,192.168.4.5,23360
-69.46021741214562,192.168.4.5,23376
-69.48221841348438,192.168.4.5,23392
-69.50297373586385,192.168.4.5,23408
-69.56205196283992,192.168.4.5,23424
-69.50130363140354,192.168.4.5,23440
-69.48207367230944,192.168.4.5,23456
-69.46381784647404,192.168.4.5,23472
-69.44646406975204,192.168.4.5,23488
-69.46694154699685,192.168.4.5,23504
-69.44984997230867,192.168.4.5,23520
-69.54226864066686,192.168.4.5,23536
-69.52279934077956,192.168.4.5,23552
-69.5041928974737,192.168.4.5,23568
-69.45109720958581,192.168.4.5,23584
-69.40026958467222,192.168.4.5,23616
-69.38635052294582,192.168.4.5,23632
-69.40754513243016,192.168.4.5,23648
-69.3935586007023,192.168.4.5,23664
-69.38013270279379,192.168.4.5,23696
-69.40116041649507,192.168.4.5,23712
-69.38762346995726,192.168.4.5,23728
-69.37460791563207,192.168.4.5,23744
-69.32866554647755,192.168.4.5,23760
-69.31772863960839,192.168.4.5,23792
-69.30719887402033,192.168.4.5,23808
-69.26404348085529,192.168.4.5,23872
-69.22246306222225,192.168.4.5,23888
-69.21516992718921,192.168.4.5,23904
-69.2081382717621,192.168.4.5,23936
-69.16877447852629,192.168.4.5,23952
-69.13079974430342,192.168.4.5,23968
-69.06174954452659,192.168.4.5,23984
-69.02742753965327,192.168.4.5,24000
-69.02654297136216,192.168.4.5,24016
-68.96132670337485,192.168.4.5,24032
-68.96256871256035,192.168.4.5,24048
-68.89966065117812,192.168.4.5,24080
-68.87087480684457,192.168.4.5,24096
-68.81111465930846,192.168.4.5,24112
-68.7852467809634,192.168.4.5,24128
-68.79208545730397,192.168.4.5,24144
-68.79869711926543,192.168.4.5,24160
-68.74157367442899,192.168.4.5,24176
-68.74977074309547,192.168.4.5,24208
-68.78938118639338,192.168.4.5,24224
-68.82769509296394,192.168.4.5,24240
-68.86475867888323,192.168.4.5,24256
-68.90061617603857,192.168.4.5,24272
-68.90375247785347,192.168.4.5,24288
-68.96984905178309,192.168.4.5,24304
-68.93929300369471,192.168.4.5,24320
-68.97268682855255,192.168.4.5,24336
-68.9420854346424,192.168.4.5,24352
-68.97534639261879,192.168.4.5,24368
-68.88185856293632,192.168.4.5,24384
-68.9169712455126,192.168.4.5,24400
-68.91957716415195,192.168.4.5,24416
-68.92210001264311,192.168.4.5,24432
-68.89318770294636,192.168.4.5,24448
-68.92787611295267,192.168.4.5,24480
-68.89880792359591,192.168.4.5,24496
-68.93329209628892,192.168.4.5,24512
-68.9353803019487,192.168.4.5,24528
-68.96869528263177,192.168.4.5,24544
-68.96967457686307,192.168.4.5,24560
-68.93934988196226,192.168.4.5,24608
-68.9412460518781,192.168.4.5,24624
-68.97433808609095,192.168.4.5,24640
-68.97513996255522,192.168.4.5,24656
-69.00715689533475,192.168.4.5,24672
-69.0069333616891,192.168.4.5,24688
-61.0,192.168.4.2,24688
-62.00049975012494,192.168.4.2,24704
-69.037943638102,192.168.4.5,24704
-62.66810963112196,192.168.4.2,24720
-69.06797965549032,192.168.4.5,24720
-69.03464280009123,192.168.4.5,24736
-63.25311957182779,192.168.4.2,24736
-69.06477108610802,192.168.4.5,24752
-63.4033899471284,192.168.4.2,24752
-63.50373368844805,192.168.4.2,24768
-69.09395433621526,192.168.4.5,24768
-63.86496062928896,192.168.4.2,24784
-69.15342225083279,192.168.4.5,24784
-64.13648727728295,192.168.4.2,24800
-69.24222168516698,192.168.4.5,24800
-65.82518748282655,192.168.4.2,24816
-69.23466655891063,192.168.4.5,24816
-65.63750662158024,192.168.4.2,24848
-69.2273480088494,192.168.4.5,24848
-65.67160346398275,192.168.4.2,24864
