rssi,node,millis
-63.0,192.168.4.7,21632
-63.0,192.168.4.7,21696
-63.0,192.168.4.7,21760
-62.24737893104216,192.168.4.7,21776
-62.19760694156837,192.168.4.7,21808
-61.82799181120706,192.168.4.7,21840
-61.56346879665978,192.168.4.7,21856
-61.36463244383933,192.168.4.7,21872
-61.66404657405161,192.168.4.7,21920
-61.698592081794736,192.168.4.7,21952
-61.72694310528298,192.168.4.7,22000
-61.750647085343424,192.168.4.7,22016
-61.69005369520703,192.168.4.7,22032
-61.71346941630247,192.168.4.7,22080
-61.7338431063194,192.168.4.7,22112
-61.61723290652751,192.168.4.7,22128
-61.57779529483738,192.168.4.7,22144
-61.48164509999205,192.168.4.7,22160
-61.39522541306708,192.168.4.7,22176
-61.3730910948016,192.168.4.7,22192
-61.299040230065145,192.168.4.7,22208
-61.231399405144025,192.168.4.7,22224
-61.21973794614877,192.168.4.7,22240
-61.16011348268327,192.168.4.7,22272
-61.20001894639749,192.168.4.7,22368
-61.23703271958557,192.168.4.7,22384
-61.181199416717895,192.168.4.7,22400
-61.12910816568645,192.168.4.7,22416
-61.16669066823119,192.168.4.7,22432
-61.20192873993727,192.168.4.7,22448
-61.23504142819112,192.168.4.7,22464
-61.22546137338266,192.168.4.7,22480
-61.13625355014109,192.168.4.7,22496
-61.09141275693275,192.168.4.7,22512
-61.04896762356376,192.168.4.7,22528
-60.932009518719774,192.168.4.7,22544
-60.896714906240376,192.168.4.7,22560
-60.90057932514845,192.168.4.7,22592
-60.86726334396251,192.168.4.7,22608
-60.83551869345328,192.168.4.7,22624
-60.805239092567504,192.168.4.7,22640
-60.7763282535507,192.168.4.7,22656
-60.81987876557189,192.168.4.7,22672
-60.86153522388805,192.168.4.7,22688
-60.90141226330022,192.168.4.7,22704
-60.93961479255688,192.168.4.7,22720
-60.94170041462329,192.168.4.7,22736
-60.97802017297787,192.168.4.7,22752
-61.01288409615903,192.168.4.7,22784
-61.21598459797584,192.168.4.7,22816
-61.24244078394441,192.168.4.7,22832
-61.26787797723978,192.168.4.7,22848
-61.25892491594953,192.168.4.7,22896
-61.2170320412367,192.168.4.7,22912
-61.17669868594594,192.168.4.7,22928
-61.10483793892362,192.168.4.7,22944
-61.13428408837,192.168.4.7,22960
-61.06431462063069,192.168.4.7,22976
-60.99685375704704,192.168.4.7,22992
-60.96437407645427,192.168.4.7,23008
-60.900549459440285,192.168.4.7,23024
-60.80655492984061,192.168.4.7,23040
