rssi,node,millis
-79.0,192.168.4.11,29840
-80.00049975012493,192.168.4.11,29904
-78.6647794058657,192.168.4.11,29968
-78.24713005385848,192.168.4.11,29984
-77.39261867148676,192.168.4.11,30000
-76.82201472552686,192.168.4.11,30032
-76.12423595892204,192.168.4.11,30064
-75.59973042482059,192.168.4.11,30080
-75.75882037640437,192.168.4.11,30128
-75.78362045853149,192.168.4.11,30144
-75.8039735451361,192.168.4.11,30160
-75.99460988615301,192.168.4.11,30176
-75.99504498445366,192.168.4.11,30192
-76.14651466396573,192.168.4.11,30224
-76.2072015388046,192.168.4.11,30304
-76.26052146528339,192.168.4.11,30320
-76.11608722203057,192.168.4.11,30336
-76.04807332680997,192.168.4.11,30352
-76.04526936123658,192.168.4.11,30368
-75.87472121575514,192.168.4.11,30384
-75.71968737079844,192.168.4.11,30448
-75.68221336012544,192.168.4.11,30464
-75.84941445051643,192.168.4.11,30528
-75.95454154763551,192.168.4.11,30560
-76.00421433494115,192.168.4.11,30576
-76.09655596929092,192.168.4.11,30624
-76.09219792880279,192.168.4.11,30640
-76.13223227432337,192.168.4.11,30656
-76.04021783381722,192.168.4.11,30672
-75.9962302421504,192.168.4.11,30704
-75.954895761023,192.168.4.11,30720
-75.99749317019892,192.168.4.11,30752
-76.11784893182123,192.168.4.11,30816
-76.27105305886677,192.168.4.11,30832
-84.0,192.168.4.6,30832
-76.41607211718079,192.168.4.11,30864
-84.0,192.168.4.6,30896
-76.51519134228913,192.168.4.11,30896
-76.5335507402962,192.168.4.11,30944
-82.33055814561979,192.168.4.6,30944
-81.24413504537297,192.168.4.6,30992
-76.62583310949447,192.168.4.11,30992
-80.18902888423845,192.168.4.6,31008
-76.75065685072765,192.168.4.11,31008
-79.48447684272094,192.168.4.6,31024
-76.79638686101329,192.168.4.11,31024
-78.69083524172638,192.168.4.6,31040
-76.91248734805326,192.168.4.11,31040
-78.22144805606978,192.168.4.6,31056
-77.96906089437576,192.168.4.6,31072
-76.98743619589614,192.168.4.11,31072
-77.66375751541207,192.168.4.6,31088
-76.98788334203908,192.168.4.11,31088
-77.50726120078616,192.168.4.6,31104
-77.28960667288514,192.168.4.6,31136
-76.98831104136569,192.168.4.11,31136
-76.98872047086577,192.168.4.11,31168
-76.86262146631289,192.168.4.6,31168
-76.72190475478216,192.168.4.6,31184
-77.02388692549457,192.168.4.11,31184
-76.52836435496192,192.168.4.6,31200
-76.85036877635426,192.168.4.11,31200
-76.35831836204352,192.168.4.6,31216
-76.88982294303509,192.168.4.11,31216
-76.20763546289739,192.168.4.6,31232
-76.9276956354387,192.168.4.11,31232
-76.96407133920668,192.168.4.11,31248
-76.13404265561773,192.168.4.6,31248
-76.99902820514242,192.168.4.11,31280
-76.12622437016385,192.168.4.6,31280
-75.95114239696403,192.168.4.6,31296
-77.06621649253385,192.168.4.11,31296
-77.13084771919465,192.168.4.11,31312
-75.84591719940346,192.168.4.6,31312
-75.69773072867714,192.168.4.6,31328
-76.96011000644654,192.168.4.11,31328
-75.61217295783874,192.168.4.6,31344
-77.09399499297493,192.168.4.11,31408
-75.53336508937139,192.168.4.6,31408
-75.41299750807987,192.168.4.6,31424
-77.2229464365027,192.168.4.11,31424
-75.34762049815711,192.168.4.6,31440
-75.28679583100563,192.168.4.6,31456
-75.27414804823819,192.168.4.6,31472
-75.39177957706566,192.168.4.6,31504
-77.24850743417396,192.168.4.11,31504
-75.45978623968428,192.168.4.6,31520
-77.24036047145556,192.168.4.11,31520
-75.56518197381567,192.168.4.6,31536
-77.23250560049078,192.168.4.11,31536
-75.66442273455722,192.168.4.6,31552
-77.19234786626974,192.168.4.11,31552
-77.18609827814635,192.168.4.11,31568
-75.75804456343037,192.168.4.6,31568
-75.80705674640511,192.168.4.6,31584
-77.18006762072841,192.168.4.11,31584
-77.17424677362936,192.168.4.11,31600
-75.97012066010501,192.168.4.6,31600
-77.29763151890637,192.168.4.11,31664
-76.08634654022303,192.168.4.6,31680
-77.38459655717793,192.168.4.11,31680
-76.23455412766401,192.168.4.6,31728
-77.43647591811583,192.168.4.11,31728
-77.48659302651885,192.168.4.11,31744
-76.4502686827031,192.168.4.6,31744
-77.47102383262687,192.168.4.11,31792
-76.50759935638007,192.168.4.6,31792
-77.55180528755085,192.168.4.11,31808
-77.5979907734272,192.168.4.11,31824
-76.74524227168652,192.168.4.6,31824
-77.51525944993445,192.168.4.11,31856
-77.46707434880125,192.168.4.11,31888
-77.08063916047377,192.168.4.6,31888
-77.42048265766154,192.168.4.11,31904
-77.4008747373906,192.168.4.6,31904
-77.40714529657691,192.168.4.11,31920
-77.67132782013938,192.168.4.6,31936
-77.39424589785064,192.168.4.11,31936
-77.93001863788497,192.168.4.6,31952
-77.41341692494325,192.168.4.11,31952
-77.46357832729475,192.168.4.11,31968
-78.1426320547312,192.168.4.6,31968
-78.27676900789388,192.168.4.6,31984
-65.0,192.168.4.10,31984
-77.51210742391382,192.168.4.11,31984
-78.40536428882936,192.168.4.6,32000
-65.0,192.168.4.10,32000
-77.5275040781264,192.168.4.11,32000
-66.66944185438021,192.168.4.10,32048
-77.5108713990512,192.168.4.11,32048
-78.52872850649179,192.168.4.6,32064
-65.99974912705872,192.168.4.10,32064
-77.52628187661419,192.168.4.11,32064
-77.5411957596181,192.168.4.11,32080
-78.68126191444172,192.168.4.6,32080
-65.79860223545089,192.168.4.10,32080
-65.83247529054105,192.168.4.10,32096
-78.79384322761507,192.168.4.6,32096
-77.52416937030509,192.168.4.11,32096
-78.93577776805378,192.168.4.6,32112
-77.47624930659231,192.168.4.11,32112
-65.71201037814922,192.168.4.10,32112
-77.46128516185557,192.168.4.11,32128
-65.74863586513129,192.168.4.10,32128
-77.35259139274405,192.168.4.11,32144
-65.54996669452838,192.168.4.10,32144
-77.34152505207574,192.168.4.11,32176
-65.49341457379718,192.168.4.10,32176
-79.03866769607791,192.168.4.6,32176
-79.13764182560882,192.168.4.6,32192
-77.36218128125903,192.168.4.11,32192
-65.44700302543951,192.168.4.10,32192
-79.23289167797398,192.168.4.6,32208
-77.3508251406815,192.168.4.11,32208
-65.4081988384478,192.168.4.10,32208
-79.35773647517149,192.168.4.6,32224
-77.33982999150139,192.168.4.11,32224
-65.3752483988148,192.168.4.10,32224
-65.34689925668185,192.168.4.10,32256
-65.32223306631734,192.168.4.10,32304
-77.29785625022801,192.168.4.11,32304
-65.56958251527362,192.168.4.10,32368
-79.4119535721283,192.168.4.6,32368
-79.3655076851721,192.168.4.6,32384
-65.66097791678384,192.168.4.10,32416
-79.45187576805117,192.168.4.6,32416
-77.41379003429442,192.168.4.11,32416
-79.50246776433812,192.168.4.6,32432
-77.52605175338482,192.168.4.11,32432
-65.86445654607407,192.168.4.10,32432
-79.58384283937896,192.168.4.6,32448
-77.50959009666892,192.168.4.11,32448
-66.04734290909674,192.168.4.10,32448
-77.49364877267841,192.168.4.11,32464
-66.15670008119251,192.168.4.10,32464
-79.56487316040266,192.168.4.6,32464
-77.47821086311905,192.168.4.11,32480
-79.51416224557357,192.168.4.6,32480
-66.14824923873893,192.168.4.10,32480
-79.40056380388835,192.168.4.6,32496
-66.08846007753685,192.168.4.10,32496
-65.98321135599295,192.168.4.10,32512
-79.29089188468329,192.168.4.6,32512
-65.83738300239709,192.168.4.10,32528
-79.21716859275574,192.168.4.6,32544
-65.70257064130904,192.168.4.10,32544
-65.76260050800886,192.168.4.10,32560
-77.61958042355047,192.168.4.11,32608
-79.27442497318432,192.168.4.6,32608
-65.68304577478294,192.168.4.10,32608
-77.75649324899749,192.168.4.11,32624
-65.60882294778965,192.168.4.10,32624
-79.29768251215975,192.168.4.6,32624
-79.28815776252817,192.168.4.6,32640
-77.85784546047105,192.168.4.11,32640
-65.53939573519327,192.168.4.10,32640
-79.27895332493601,192.168.4.6,32656
-65.5165863595268,192.168.4.10,32656
-77.95600730403926,192.168.4.11,32656
-78.01984799440145,192.168.4.11,32672
-65.45366183906593,192.168.4.10,32672
-79.27005701096785,192.168.4.6,32672
-78.1129085543688,192.168.4.11,32704
-65.47593003904234,192.168.4.10,32704
-79.29330156986873,192.168.4.6,32704
-65.53702252319462,192.168.4.10,32736
-79.25217470744094,192.168.4.6,32736
-78.23426604533806,192.168.4.11,32752
-65.51582961611169,192.168.4.10,32752
-79.30768255287742,192.168.4.6,32752
-65.65132929364894,192.168.4.10,32768
-79.36136145841802,192.168.4.6,32768
-78.32059809524641,192.168.4.11,32784
-79.41327769592299,192.168.4.6,32784
-65.74142407609085,192.168.4.10,32784
-78.43543027650283,192.168.4.11,32800
-79.52679100143948,192.168.4.6,32800
-65.82695492141866,192.168.4.10,32800
-65.90825955293992,192.168.4.10,32816
-65.83766550576574,192.168.4.10,32864
-79.60498396443431,192.168.4.6,32880
-78.51545611675064,192.168.4.11,32880
-65.80700423210614,192.168.4.10,32880
-79.61746085908933,192.168.4.6,32896
-78.65537221520238,192.168.4.11,32896
-65.81399849192373,192.168.4.10,32896
-78.79090355271651,192.168.4.11,32912
-65.74886973841336,192.168.4.10,32912
-79.69264776108074,192.168.4.6,32912
-78.89099834320287,192.168.4.11,32928
-79.73386975562043,192.168.4.6,32928
-65.7222174432699,192.168.4.10,32928
-78.98795883204008,192.168.4.11,32944
-79.74225445067178,192.168.4.6,32944
-65.66142582538862,192.168.4.10,32944
-78.92596767686945,192.168.4.11,32960
-79.65592112284389,192.168.4.6,32960
-65.56820398422279,192.168.4.10,32960
-78.6164775098739,192.168.4.11,33008
-65.51367091728028,192.168.4.10,33008
-79.47798197005147,192.168.4.6,33008
-78.41019830060016,192.168.4.11,33104
-65.46139080431811,192.168.4.10,33104
-79.33719369186517,192.168.4.6,33104
-65.47987532052224,192.168.4.10,33136
-79.38944043305655,192.168.4.6,33136
-78.14802271118164,192.168.4.11,33136
-79.25160006375752,192.168.4.6,33152
-65.53173300758199,192.168.4.10,33152
-65.37800335498763,192.168.4.10,33232
-79.14954619981431,192.168.4.6,33232
-77.9875554346858,192.168.4.11,33232
-79.08211535968381,192.168.4.6,33280
-77.89443940264792,192.168.4.11,33280
-65.1965254700739,192.168.4.10,33280
