rssi,node,millis
-61.48522059262822,192.168.4.9,16000
-65.04317619566814,192.168.4.10,16000
-68.30195832969447,192.168.4.6,16000
-71.26206988300304,192.168.4.7,16000
-56.51461544546441,192.168.4.11,16000
-71.25391249768603,192.168.4.7,16032
-66.78633177866031,192.168.4.5,16032
-61.47011726166385,192.168.4.9,16032
-68.38593954755984,192.168.4.6,16032
-56.56085061123714,192.168.4.11,16032
-65.10408572425119,192.168.4.10,16032
-61.455484048080656,192.168.4.9,16048
-68.49843343539534,192.168.4.6,16048
-56.54339316508115,192.168.4.11,16048
-71.27713578013685,192.168.4.7,16048
-65.1942260691636,192.168.4.10,16048
-66.76185583970393,192.168.4.5,16048
-61.44130631865423,192.168.4.9,16064
-68.5140455629161,192.168.4.6,16064
-56.5264791122199,192.168.4.11,16064
-66.76926848923709,192.168.4.5,16064
-65.18818044656109,192.168.4.10,16064
-71.29963619606167,192.168.4.7,16064
-61.427569895645306,192.168.4.9,16080
-68.49804500502786,192.168.4.6,16080
-65.15119627358423,192.168.4.10,16080
-56.54121826945188,192.168.4.11,16080
-66.74532367503116,192.168.4.5,16080
-71.88171777150932,192.168.4.7,16080
-65.11536329712303,192.168.4.10,16096
-61.38313431186069,192.168.4.9,16096
-68.45141576148812,192.168.4.6,16096
-71.85427276281978,192.168.4.7,16096
-56.555498644856826,192.168.4.11,16096
-66.72212418477716,192.168.4.5,16096
-66.73077355074804,192.168.4.5,16112
-56.56933451881889,192.168.4.11,16112
-61.34008186266095,192.168.4.9,16112
-71.73430178282685,192.168.4.7,16112
-65.0806456841791,192.168.4.10,16112
-68.43736466466204,192.168.4.6,16112
-61.29836949557218,192.168.4.9,16128
-56.551612996644025,192.168.4.11,16128
-66.64577349529229,192.168.4.5,16128
-68.42375093258167,192.168.4.6,16128
-71.61806511386739,192.168.4.7,16128
-65.0470087171196,192.168.4.10,16128
-66.59454594562587,192.168.4.5,16144
-65.01441875895931,192.168.4.10,16144
-56.56556981805348,192.168.4.11,16144
-71.5054465184352,192.168.4.7,16144
-61.257955498204815,192.168.4.9,16144
-68.41056095150758,192.168.4.6,16144
-65.0139699501363,192.168.4.10,16160
-66.54491294236506,192.168.4.5,16160
-56.54796547879738,192.168.4.11,16160
-61.21879945654104,192.168.4.9,16160
-68.36665480103935,192.168.4.6,16160
-71.39633337717342,192.168.4.7,16160
-65.01353511126557,192.168.4.10,16176
-66.55907831488528,192.168.4.5,16176
-56.562035835442536,192.168.4.11,16176
-61.21198894485909,192.168.4.9,16176
-68.35524203592009,192.168.4.6,16176
-71.32174332064729,192.168.4.7,16176
-66.5728027656083,192.168.4.5,16192
-64.98198707723924,192.168.4.10,16192
-56.54454149759131,192.168.4.11,16192
-68.34418451288786,192.168.4.6,16192
-71.24947501190772,192.168.4.7,16192
-61.23651715242129,192.168.4.9,16192
-68.33347117441501,192.168.4.6,16208
-56.49646497110781,192.168.4.11,16208
-71.2105829248352,192.168.4.7,16208
-64.98254776062619,192.168.4.10,16208
-61.2291551468294,192.168.4.9,16208
-61.190895566271365,192.168.4.9,16224
-68.29196457701683,192.168.4.6,16224
-66.64835348093803,192.168.4.5,16224
-64.95196426162953,192.168.4.10,16224
-71.14177468096673,192.168.4.7,16224
-56.5121383700692,192.168.4.11,16224
-66.6592990874958,192.168.4.5,16240
-64.98458618717659,192.168.4.10,16240
-68.25174994434943,192.168.4.6,16240
-56.49619717725819,192.168.4.11,16240
-61.21608034159013,192.168.4.9,16240
-71.01285473318248,192.168.4.7,16240
-66.70103072383067,192.168.4.5,16272
-68.24391379179652,192.168.4.6,16272
-61.2093544671326,192.168.4.9,16272
-71.01245460724135,192.168.4.7,16272
-64.98506596876707,192.168.4.10,16272
-56.543005641740486,192.168.4.11,16272
-64.95440408634524,192.168.4.10,16288
-66.64808319863596,192.168.4.5,16288
-68.26744828304051,192.168.4.6,16288
-70.9498134567245,192.168.4.7,16288
-56.52610365175267,192.168.4.11,16288
-61.17171121718463,192.168.4.9,16288
-56.5097277654684,192.168.4.11,16304
-61.13523967856919,192.168.4.9,16304
-66.62791048752122,192.168.4.5,16304
-68.29025022249543,192.168.4.6,16304
-70.82686864430468,192.168.4.7,16304
-64.9246966081037,192.168.4.10,16304
-66.63949241749495,192.168.4.5,16336
-61.09990337973724,192.168.4.9,16336
-64.92704055644285,192.168.4.10,16336
-68.25008895233303,192.168.4.6,16336
-56.55611506677093,192.168.4.11,16336
-70.73887744362193,192.168.4.7,16336
-64.89818481548699,192.168.4.10,16352
-68.27343123092163,192.168.4.6,16352
-56.56993175316987,192.168.4.11,16352
-61.09679371422554,192.168.4.9,16352
-66.68184057024,192.168.4.5,16352
-70.65362512355925,192.168.4.7,16352
-61.09378084243596,192.168.4.9,16368
-70.66440664333724,192.168.4.7,16368
-56.58331837128695,192.168.4.11,16368
-64.93248071903112,192.168.4.10,16368
-66.66061710267631,192.168.4.5,16368
-66.67118098257916,192.168.4.5,16384
-68.23379348107062,192.168.4.6,16384
-61.059735021727306,192.168.4.9,16384
-64.96570910321269,192.168.4.10,16384
-70.89273972688416,192.168.4.7,16384
-56.65854176728081,192.168.4.11,16384
-64.96677646668932,192.168.4.10,16400
-56.700296975140006,192.168.4.11,16400
-68.25764298433232,192.168.4.6,16400
-66.68141604342017,192.168.4.5,16400
-61.089002395584274,192.168.4.9,16400
-56.64737229078287,192.168.4.11,16416
-68.21849667105724,192.168.4.6,16416
-66.69133252026421,192.168.4.5,16416
-61.055105312372845,192.168.4.9,16416
-64.9366838769291,192.168.4.10,16416
-70.89607838912269,192.168.4.7,16432
-56.78285535684484,192.168.4.11,16432
-61.05339006421119,192.168.4.9,16432
-64.93865470077571,192.168.4.10,16432
-68.33620250304185,192.168.4.6,16432
-66.60756013933859,192.168.4.5,16432
-70.86818639377609,192.168.4.7,16448
-64.97169090896143,192.168.4.10,16448
-61.02060147647497,192.168.4.9,16448
-68.35686434828574,192.168.4.6,16448
-56.72736090016162,192.168.4.11,16448
-66.68202896899514,192.168.4.5,16448
-70.9034160564999,192.168.4.7,16464
-66.7541798273776,192.168.4.5,16464
-61.01996021988707,192.168.4.9,16464
-64.97257207838383,192.168.4.10,16464
-68.43913651712366,192.168.4.6,16464
-56.76697399331974,192.168.4.11,16464
-70.93754913441003,192.168.4.7,16480
-66.88633832523006,192.168.4.5,16480
-64.97342581988319,192.168.4.10,16480
-68.51884782233601,192.168.4.6,16480
-56.77422733081703,192.168.4.11,16480
-61.019338923520095,192.168.4.9,16480
-56.812381625199926,192.168.4.11,16528
-61.11211715477522,192.168.4.9,16528
-71.00174649538958,192.168.4.7,16528
-68.62720470483059,192.168.4.6,16528
-65.06763317589875,192.168.4.10,16528
-66.8276227817049,192.168.4.5,16528
-56.84934830115329,192.168.4.11,16544
-61.10862731442134,192.168.4.9,16544
-68.576555144035,192.168.4.6,16544
-65.15890816495506,192.168.4.10,16544
-71.06394560146721,192.168.4.7,16544
-66.83298832081023,192.168.4.5,16544
-65.12283514396296,192.168.4.10,16560
-68.58973559754324,192.168.4.6,16560
-61.1363728309092,192.168.4.9,16560
-56.854037595835415,192.168.4.11,16560
-66.83818684822276,192.168.4.5,16560
-71.1553353859455,192.168.4.7,16576
-56.8897076576104,192.168.4.11,16576
-61.13212799068993,192.168.4.9,16576
-66.84322356247115,192.168.4.5,16576
-68.57137905710866,192.168.4.6,16576
-65.08788495816042,192.168.4.10,16576
-66.81697677053684,192.168.4.5,16592
-56.86201396803168,192.168.4.11,16592
-61.22139546691986,192.168.4.9,16592
-68.55359389575439,192.168.4.6,16592
-71.18162703651355,192.168.4.7,16592
-65.085149386842,192.168.4.10,16592
-56.83518229245184,192.168.4.11,16608
-66.85380041483072,192.168.4.5,16608
-68.66086924625493,192.168.4.6,16608
-61.30788433851727,192.168.4.9,16608
-65.1447524238478,192.168.4.10,16608
-71.20710031364473,192.168.4.7,16624
-61.29830090601008,192.168.4.9,16624
-56.87143925809431,192.168.4.11,16624
-66.85835112979625,192.168.4.5,16624
-68.76480546588223,192.168.4.6,16624
-65.14024675431334,192.168.4.10,16624
-61.35126923328955,192.168.4.9,16640
-71.20065395743033,192.168.4.7,16640
-65.1358813315376,192.168.4.10,16640
-68.83437976141583,192.168.4.6,16640
-66.86276019588317,192.168.4.5,16640
-56.937694392394896,192.168.4.11,16640
-65.13165179009742,192.168.4.10,16656
-66.8981587517733,192.168.4.5,16656
-57.00188722102683,192.168.4.11,16656
-61.37146210033221,192.168.4.9,16656
-68.87066170720693,192.168.4.6,16656
-71.22553498825755,192.168.4.7,16656
-57.03295520741643,192.168.4.11,16672
-61.484406617681245,192.168.4.9,16672
-66.90132873676792,192.168.4.5,16672
-65.127553900451,192.168.4.10,16672
-68.99919450293568,192.168.4.6,16672
-71.18738808820197,192.168.4.7,16672
-65.12358356470837,192.168.4.10,16688
-71.11930184423511,192.168.4.7,16688
-69.03034630483268,192.168.4.6,16688
-66.87327332092859,192.168.4.5,16688
-61.56270881216105,192.168.4.9,16688
-57.03192941959301,192.168.4.11,16688
-68.9982749942188,192.168.4.6,16704
-66.84609117845044,192.168.4.5,16704
-56.99980883180663,192.168.4.11,16704
-61.66970044477668,192.168.4.9,16704
