rssi,node,millis
-66.50396996440446,192.168.4.5,14144
-64.61515949291055,192.168.4.10,14144
-55.74478347280298,192.168.4.11,14144
-80.41004755527895,192.168.4.3,14144
-60.89217186563424,192.168.4.9,14160
-80.67742776250878,192.168.4.3,14160
-55.81498105144454,192.168.4.11,14160
-66.48828302778529,192.168.4.5,14160
-64.62713832015598,192.168.4.10,14160
-68.61887676412515,192.168.4.6,14160
-71.03039913348728,192.168.4.7,14160
-64.6387442855995,192.168.4.10,14176
-68.59961300266686,192.168.4.6,14176
-66.53533783264106,192.168.4.5,14176
-70.96719943753808,192.168.4.7,14176
-55.75848657901585,192.168.4.11,14176
-60.89552820822243,192.168.4.9,14176
-70.96822041194471,192.168.4.7,14192
-64.6499889952176,192.168.4.10,14192
-60.898780078350576,192.168.4.9,14192
-66.51867451688237,192.168.4.5,14192
-55.73487735354967,192.168.4.11,14192
-80.56296022516439,192.168.4.3,14192
-68.61207583262706,192.168.4.6,14192
-60.93305750168477,192.168.4.9,14224
-70.90695613796534,192.168.4.7,14224
-64.66088369372994,192.168.4.10,14224
-68.62415072709881,192.168.4.6,14224
-66.59591006330298,192.168.4.5,14224
-55.68087625491899,192.168.4.11,14224
-68.63584976200119,192.168.4.6,14240
-70.94097902358578,192.168.4.7,14240
-66.60848806134277,192.168.4.5,14240
-55.62855603757704,192.168.4.11,14240
-64.6714392758442,192.168.4.10,14240
-80.70107216425644,192.168.4.3,14240
-60.904014434494165,192.168.4.9,14240
-64.61941283497663,192.168.4.10,14256
-80.99052013411409,192.168.4.3,14256
-66.62067454744303,192.168.4.5,14256
-60.90700215496566,192.168.4.9,14256
-68.64718463730097,192.168.4.6,14256
-55.60899113090216,192.168.4.11,14256
-70.97394288757725,192.168.4.7,14256
-71.19264109481252,192.168.4.7,14272
-55.59003521696526,192.168.4.11,14272
-60.94102364316952,192.168.4.9,14272
-68.658166688721,192.168.4.6,14272
-66.6636084373071,192.168.4.5,14272
-64.600132538302,192.168.4.10,14272
-64.58145237430011,192.168.4.10,14288
-55.57166933970697,192.168.4.11,14288
-60.94285938629729,192.168.4.9,14288
-80.7417991504047,192.168.4.3,14288
-68.66880689908352,192.168.4.6,14288
-66.67407920638966,192.168.4.5,14288
