millis,rssi,node,sequence
1,-79.0,192.168.4.9,47536
1,-71.0,192.168.4.5,47536
1,-76.0,192.168.4.6,47536
1,-79.0,192.168.4.7,47536
1,-74.0,192.168.4.3,47536
2,-73.0,192.168.4.7,47600
2,-70.0,192.168.4.5,47600
2,-79.0,192.168.4.6,47600
2,-70.5,192.168.4.3,47696
2,-79.0,192.168.4.10,47696
2,-70.0,192.168.4.5,47696
2,-76.0,192.168.4.2,47760
2,-72.0,192.168.4.9,47760
2,-70.0,192.168.4.5,47760
2,-70.5,192.168.4.3,47760
2,-73.0,192.168.4.7,47760
2,-79.0,192.168.4.6,47760
2,-79.0,192.168.4.10,47760
4,-72.5,192.168.4.2,48176
4,-82.0,192.168.4.3,48336
4,-72.5,192.168.4.2,48336
4,-72.5,192.168.4.2,48368
4,-69.0,192.168.4.5,48368
4,-75.0,192.168.4.6,48384
4,-69.0,192.168.4.5,48384
4,-72.5,192.168.4.2,48432
5,-79.0,192.168.4.3,48464
5,-72.33333333333333,192.168.4.2,48496
5,-79.0,192.168.4.3,48496
5,-72.33333333333333,192.168.4.2,48512
5,-79.0,192.168.4.3,48512
5,-72.33333333333333,192.168.4.2,48528
5,-72.33333333333333,192.168.4.2,48544
5,-76.0,192.168.4.6,48576
5,-72.0,192.168.4.5,48576
5,-72.33333333333333,192.168.4.2,48576
5,-79.0,192.168.4.10,48576
5,-90.0,192.168.4.7,48576
5,-72.33333333333333,192.168.4.2,48608
5,-72.33333333333333,192.168.4.2,48656
5,-72.33333333333333,192.168.4.2,48688
5,-72.33333333333333,192.168.4.2,48720
6,-78.0,192.168.4.10,48752
6,-72.0,192.168.4.2,48752
6,-72.0,192.168.4.2,48768
6,-76.33333333333333,192.168.4.3,48784
6,-72.0,192.168.4.2,48784
6,-76.33333333333333,192.168.4.3,48800
6,-72.0,192.168.4.2,48800
6,-78.0,192.168.4.10,48800
6,-72.0,192.168.4.2,48832
6,-72.0,192.168.4.2,48848
6,-72.0,192.168.4.2,48864
6,-78.0,192.168.4.10,48880
6,-72.0,192.168.4.2,48880
6,-72.0,192.168.4.5,48880
6,-76.0,192.168.4.6,48880
6,-75.0,192.168.4.9,48880
6,-76.33333333333333,192.168.4.3,48928
6,-72.0,192.168.4.2,48928
6,-78.0,192.168.4.10,48928
6,-72.0,192.168.4.2,48944
6,-76.33333333333333,192.168.4.3,48944
6,-72.0,192.168.4.2,48960
6,-78.0,192.168.4.10,48992
6,-76.33333333333333,192.168.4.3,48992
6,-72.0,192.168.4.2,48992
6,-78.0,192.168.4.10,49024
6,-76.33333333333333,192.168.4.3,49024
6,-72.0,192.168.4.2,49024
6,-72.0,192.168.4.2,49040
7,-78.25,192.168.4.10,49056
7,-76.75,192.168.4.3,49056
7,-71.83333333333333,192.168.4.2,49056
7,-71.83333333333333,192.168.4.2,49088
7,-79.0,192.168.4.6,49120
7,-77.0,192.168.4.9,49120
7,-71.83333333333333,192.168.4.2,49120
7,-73.0,192.168.4.5,49120
7,-76.75,192.168.4.3,49152
7,-71.83333333333333,192.168.4.2,49152
7,-76.75,192.168.4.3,49168
7,-71.83333333333333,192.168.4.2,49168
7,-71.83333333333333,192.168.4.2,49216
7,-78.25,192.168.4.10,49216
7,-76.75,192.168.4.3,49216
7,-76.75,192.168.4.3,49232
7,-71.83333333333333,192.168.4.2,49232
7,-78.25,192.168.4.10,49232
7,-76.75,192.168.4.3,49248
7,-71.83333333333333,192.168.4.2,49248
7,-78.25,192.168.4.10,49248
7,-76.75,192.168.4.3,49280
7,-71.83333333333333,192.168.4.2,49280
7,-71.83333333333333,192.168.4.2,49312
7,-71.83333333333333,192.168.4.2,49328
7,-76.75,192.168.4.3,49328
7,-71.83333333333333,192.168.4.2,49344
8,-72.5,192.168.4.2,49376
8,-80.875,192.168.4.10,49376
8,-72.5,192.168.4.2,49392
8,-80.875,192.168.4.10,49392
8,-72.5,192.168.4.2,49408
8,-80.875,192.168.4.10,49408
8,-71.25,192.168.4.6,49408
8,-76.33333333333333,192.168.4.9,49408
8,-71.16666666666667,192.168.4.5,49408
8,-68.5,192.168.4.11,49424
8,-76.5,192.168.4.3,49424
8,-80.875,192.168.4.10,49424
8,-72.5,192.168.4.2,49520
8,-71.16666666666667,192.168.4.5,49520
8,-68.5,192.168.4.11,49520
8,-76.5,192.168.4.3,49568
8,-80.875,192.168.4.10,49568
8,-71.16666666666667,192.168.4.5,49568
8,-72.5,192.168.4.2,49568
8,-68.5,192.168.4.11,49568
8,-71.25,192.168.4.6,49584
8,-71.16666666666667,192.168.4.5,49584
8,-76.5,192.168.4.3,49584
8,-80.875,192.168.4.10,49584
8,-72.5,192.168.4.2,49584
8,-88.5,192.168.4.12,49584
8,-68.5,192.168.4.11,49584
8,-76.33333333333333,192.168.4.9,49584
8,-68.5,192.168.4.11,49600
8,-71.25,192.168.4.6,49600
8,-80.875,192.168.4.10,49600
8,-72.5,192.168.4.2,49600
8,-76.33333333333333,192.168.4.9,49600
8,-71.16666666666667,192.168.4.5,49600
8,-88.5,192.168.4.12,49600
8,-76.5,192.168.4.3,49600
8,-76.5,192.168.4.3,49616
8,-68.5,192.168.4.11,49616
8,-72.5,192.168.4.2,49616
8,-76.5,192.168.4.3,49632
8,-68.5,192.168.4.11,49632
8,-80.875,192.168.4.10,49632
8,-72.5,192.168.4.2,49632
8,-68.5,192.168.4.11,49648
8,-71.16666666666667,192.168.4.5,49648
8,-72.5,192.168.4.2,49648
8,-71.25,192.168.4.6,49648
9,-71.61538461538461,192.168.4.2,49664
9,-76.16666666666667,192.168.4.5,49664
9,-78.66666666666667,192.168.4.9,49664
9,-78.6,192.168.4.10,49664
9,-75.0,192.168.4.6,49664
9,-73.75,192.168.4.3,49664
9,-87.0,192.168.4.12,49664
9,-71.23076923076923,192.168.4.11,49664
9,-78.6,192.168.4.10,49680
9,-76.16666666666667,192.168.4.5,49680
9,-78.66666666666667,192.168.4.9,49680
9,-87.0,192.168.4.12,49680
9,-71.61538461538461,192.168.4.2,49680
9,-75.0,192.168.4.6,49680
9,-71.23076923076923,192.168.4.11,49680
9,-71.23076923076923,192.168.4.11,49696
9,-71.61538461538461,192.168.4.2,49696
9,-71.23076923076923,192.168.4.11,49712
9,-71.61538461538461,192.168.4.2,49712
9,-78.6,192.168.4.10,49712
9,-87.0,192.168.4.12,49712
9,-75.0,192.168.4.6,49712
9,-78.66666666666667,192.168.4.9,49712
9,-71.23076923076923,192.168.4.11,49728
9,-78.6,192.168.4.10,49744
9,-71.23076923076923,192.168.4.11,49744
9,-71.61538461538461,192.168.4.2,49744
9,-71.23076923076923,192.168.4.11,49792
9,-73.75,192.168.4.3,49792
9,-71.61538461538461,192.168.4.2,49792
9,-73.75,192.168.4.3,49808
9,-76.16666666666667,192.168.4.5,49808
9,-71.23076923076923,192.168.4.11,49808
9,-71.23076923076923,192.168.4.11,49824
9,-71.61538461538461,192.168.4.2,49824
9,-73.75,192.168.4.3,49824
9,-71.61538461538461,192.168.4.2,49840
9,-73.75,192.168.4.3,49840
9,-87.0,192.168.4.12,49840
9,-76.16666666666667,192.168.4.5,49840
9,-91.0,192.168.4.7,49840
9,-71.23076923076923,192.168.4.11,49840
9,-78.6,192.168.4.10,49840
9,-78.66666666666667,192.168.4.9,49840
9,-78.6,192.168.4.10,49856
9,-71.61538461538461,192.168.4.2,49856
9,-78.6,192.168.4.10,49872
9,-71.61538461538461,192.168.4.2,49872
9,-75.0,192.168.4.6,49888
9,-73.75,192.168.4.3,49888
9,-78.6,192.168.4.10,49888
