millis,rssi,node,sequence
1,-79.0,192.168.4.9,47536
1,-71.0,192.168.4.5,47536
1,-76.0,192.168.4.6,47536
1,-79.0,192.168.4.7,47536
1,-74.0,192.168.4.3,47536
2,-75.88461538461539,192.168.4.7,47600
2,-70.48076923076923,192.168.4.5,47600
2,-77.5576923076923,192.168.4.6,47600
2,-72.1826923076923,192.168.4.3,47696
2,-79.0,192.168.4.10,47696
2,-70.3006253006253,192.168.4.5,47696
2,-76.0,192.168.4.2,47760
2,-75.36538461538461,192.168.4.9,47760
2,-70.20665802560576,192.168.4.5,47760
2,-71.55218855218855,192.168.4.3,47760
2,-74.80375180375181,192.168.4.7,47760
2,-78.0981240981241,192.168.4.6,47760
2,-79.0,192.168.4.10,47760
4,-74.1826923076923,192.168.4.2,48176
4,-74.8178896413078,192.168.4.3,48336
4,-73.55218855218855,192.168.4.2,48336
4,-73.22330308962015,192.168.4.2,48368
4,-69.86649550706034,192.168.4.5,48368
4,-77.12973494868268,192.168.4.6,48384
4,-69.63623800807154,192.168.4.5,48384
4,-73.01940057920228,192.168.4.2,48432
5,-75.9968460334749,192.168.4.3,48464
5,-72.83708904165277,192.168.4.2,48496
5,-76.79488678010993,192.168.4.3,48496
5,-72.70766855093946,192.168.4.2,48512
5,-77.36140509500635,192.168.4.3,48512
5,-72.61333339138814,192.168.4.2,48528
5,-72.54354245528894,192.168.4.2,48544
5,-76.81125740386234,192.168.4.6,48576
5,-70.24351497163273,192.168.4.5,48576
5,-72.49147409047481,192.168.4.2,48576
5,-79.0,192.168.4.10,48576
5,-79.55368479525977,192.168.4.7,48576
5,-72.4524423213943,192.168.4.2,48608
5,-72.42310383000668,192.168.4.2,48656
5,-72.40101740927933,192.168.4.2,48688
5,-72.38437589685904,192.168.4.2,48720
6,-78.68742725637499,192.168.4.10,48752
6,-72.28990457139128,192.168.4.2,48752
6,-72.21866742804082,192.168.4.2,48768
6,-77.10232363778243,192.168.4.3,48784
6,-72.1649416229981,192.168.4.2,48784
6,-76.91065027324261,192.168.4.3,48800
6,-72.12441884888058,192.168.4.2,48800
6,-78.49363831047386,192.168.4.10,48800
6,-72.09385288800848,192.168.4.2,48832
6,-72.07079657689964,192.168.4.2,48848
6,-72.05340460090444,192.168.4.2,48864
6,-78.36246172404195,192.168.4.10,48880
6,-72.0402852543713,192.168.4.2,48880
6,-70.68616179620928,192.168.4.5,48880
6,-76.59567855858567,192.168.4.6,48880
6,-75.22847522847523,192.168.4.9,48880
6,-76.76765006106855,192.168.4.3,48928
6,-72.03038884038719,192.168.4.2,48928
6,-78.26934124239659,192.168.4.10,48928
6,-72.02292358179491,192.168.4.2,48944
6,-76.66045346905025,192.168.4.3,48944
6,-72.017292230419,192.168.4.2,48960
6,-78.20146531760993,192.168.4.10,48992
6,-76.57987843066998,192.168.4.3,48992
6,-72.01304426635032,192.168.4.2,48992
6,-78.1512494240662,192.168.4.10,49024
6,-76.51922043110632,192.168.4.3,49024
6,-72.00983984739865,192.168.4.2,49024
6,-72.00742261787387,192.168.4.2,49040
7,-78.17570973751735,192.168.4.10,49056
7,-76.57596230145643,192.168.4.3,49056
7,-71.96465633474459,192.168.4.2,49056
7,-71.93239589879373,192.168.4.2,49088
7,-77.21337569956388,192.168.4.6,49120
7,-75.7822055867104,192.168.4.9,49120
7,-71.90806047111253,192.168.4.2,49120
7,-71.26289358457565,192.168.4.5,49120
7,-76.61873702327723,192.168.4.3,49152
7,-71.88970321575552,192.168.4.2,49152
7,-76.65099177333009,192.168.4.3,49168
7,-71.87585555155108,192.168.4.2,49168
7,-71.86540966504394,192.168.4.2,49216
7,-78.19404580990354,192.168.4.10,49216
7,-76.67531774053678,192.168.4.3,49216
7,-76.69366564008939,192.168.4.3,49232
7,-71.8575298851766,192.168.4.2,49232
7,-78.2078282418675,192.168.4.10,49232
7,-76.70750529425976,192.168.4.3,49248
7,-71.85158582950092,192.168.4.2,49248
7,-78.21820384663123,192.168.4.10,49248
7,-76.71794472960178,192.168.4.3,49280
7,-71.84710197353762,192.168.4.2,49280
7,-71.84371960879879,192.168.4.2,49312
7,-71.84116814610071,192.168.4.2,49328
7,-76.72581946758629,192.168.4.3,49328
7,-71.83924346842552,192.168.4.2,49344
8,-72.00156302635428,192.168.4.2,49376
8,-78.87143144214058,192.168.4.10,49376
8,-72.12400762636047,192.168.4.2,49392
8,-79.36386548619284,192.168.4.10,49392
8,-72.21637283646223,192.168.4.2,49408
8,-79.73519080012385,192.168.4.10,49408
8,-75.71056225422382,192.168.4.6,49408
8,-75.93757106587125,192.168.4.9,49408
8,-71.23905837599854,192.168.4.5,49408
8,-68.5,192.168.4.11,49424
8,-76.67034477441338,192.168.4.3,49424
8,-80.01523784419943,192.168.4.10,49424
8,-72.28604787347527,192.168.4.2,49520
8,-71.22119089810695,192.168.4.5,49520
8,-68.5,192.168.4.11,49520
8,-76.62849813762449,192.168.4.3,49568
8,-80.22646377371939,192.168.4.10,49568
8,-71.20776068834219,192.168.4.5,49568
8,-72.33860674036389,192.168.4.2,49568
8,-68.5,192.168.4.11,49568
8,-74.59875243027697,192.168.4.6,49584
8,-71.19765024130515,192.168.4.5,49584
8,-76.59693155549199,192.168.4.3,49584
8,-80.3857895759992,192.168.4.10,49584
8,-72.37825414648057,192.168.4.2,49584
8,-88.5,192.168.4.12,49584
8,-68.5,192.168.4.11,49584
8,-76.04273863934097,192.168.4.9,49584
8,-68.5,192.168.4.11,49600
8,-73.76927337822762,192.168.4.6,49600
8,-80.50597114923363,192.168.4.10,49600
8,-72.40816188431525,192.168.4.2,49600
8,-76.11739567503122,192.168.4.9,49600
8,-71.19003229668576,192.168.4.5,49600
8,-88.5,192.168.4.12,49600
8,-76.573119585213,192.168.4.3,49600
8,-76.55515721927317,192.168.4.3,49616
8,-68.5,192.168.4.11,49616
8,-72.43072257289495,192.168.4.2,49616
8,-76.54160744698139,192.168.4.3,49632
8,-68.5,192.168.4.11,49632
8,-80.59662724017937,192.168.4.10,49632
8,-72.44774106730615,192.168.4.2,49632
8,-68.5,192.168.4.11,49648
8,-71.18428952754667,192.168.4.5,49648
8,-72.46057884710183,192.168.4.2,49648
8,-73.14747480759308,192.168.4.6,49648
9,-72.25295085180933,192.168.4.2,49664
9,-72.40859003713221,192.168.4.5,49664
9,-76.75983024817498,192.168.4.9,49664
9,-80.10613682890734,192.168.4.10,49664
9,-73.60378205432212,192.168.4.6,49664
9,-75.85582893141562,192.168.4.3,49664
9,-87.93795093795094,192.168.4.12,49664
9,-69.18065321918242,192.168.4.11,49664
9,-79.73614155872247,192.168.4.10,49680
9,-73.33193602488613,192.168.4.5,49680
9,-77.23511550189633,192.168.4.9,49680
9,-87.64477303988997,192.168.4.12,49680
9,-72.09632815543095,192.168.4.2,49680
9,-73.94729643953843,192.168.4.6,49680
9,-69.68846271578995,192.168.4.11,49680
9,-70.06912961553274,192.168.4.11,49696
9,-71.97818094225634,192.168.4.2,49696
9,-70.35526044748717,192.168.4.11,49712
9,-71.88905743523149,192.168.4.2,49712
9,-79.45703941381542,192.168.4.10,49712
9,-87.46300851631747,192.168.4.12,49712
9,-74.20612510981955,192.168.4.6,49712
9,-77.589707765086,192.168.4.9,49712
9,-70.5706636818974,192.168.4.11,49728
9,-79.24650119490299,192.168.4.10,49744
9,-70.73296411278487,192.168.4.11,49744
9,-71.82182775379441,192.168.4.2,49744
9,-70.85531390033637,192.168.4.11,49792
9,-75.3385169294711,192.168.4.3,49792
9,-71.7711135234301,192.168.4.2,49792
9,-74.94828636735058,192.168.4.3,49808
