node,millis,rssi
192.168.4.3,44672,-73
192.168.4.6,44672,-86
192.168.4.2,44672,-75
192.168.4.3,44752,-75
192.168.4.6,44752,-85
192.168.4.2,44752,-76
192.168.4.3,44784,-75
192.168.4.6,44784,-86
192.168.4.2,44784,-75
192.168.4.3,44800,-75
192.168.4.6,44800,-84
192.168.4.2,44800,-76
192.168.4.3,44848,-75
192.168.4.6,44848,-84
192.168.4.2,44848,-75
192.168.4.3,44864,-74
192.168.4.6,44864,-83
192.168.4.2,44864,-75
192.168.4.6,44896,-86
192.168.4.2,44896,-75
192.168.4.3,44912,-74
192.168.4.6,44912,-83
192.168.4.2,44912,-74
192.168.4.3,44944,-73
192.168.4.6,44944,-84
192.168.4.2,44944,-76
192.168.4.3,44960,-73
192.168.4.6,44960,-84
192.168.4.2,44960,-75
192.168.4.3,44976,-74
192.168.4.6,44976,-84
192.168.4.2,44976,-74
192.168.4.3,45008,-74
192.168.4.6,45008,-84
192.168.4.2,45008,-74
192.168.4.3,45024,-73
192.168.4.6,45024,-83
192.168.4.2,45024,-74
192.168.4.3,45040,-73
192.168.4.6,45040,-81
192.168.4.2,45040,-74
192.168.4.3,45072,-73
192.168.4.6,45072,-81
192.168.4.2,45072,-74
192.168.4.3,45088,-73
192.168.4.6,45088,-83
192.168.4.2,45088,-74
192.168.4.3,45120,-72
192.168.4.6,45120,-82
192.168.4.2,45120,-73
192.168.4.3,45136,-74
192.168.4.6,45136,-83
192.168.4.2,45136,-73
192.168.4.3,45168,-73
192.168.4.6,45168,-82
192.168.4.2,45168,-72
192.168.4.3,45216,-73
192.168.4.6,45216,-83
192.168.4.2,45216,-73
192.168.4.3,45232,-72
192.168.4.6,45232,-83
192.168.4.2,45232,-73
192.168.4.6,45248,-83
192.168.4.2,45248,-73
192.168.4.3,45264,-72
192.168.4.6,45264,-82
192.168.4.2,45264,-73
192.168.4.3,45280,-73
192.168.4.6,45280,-82
192.168.4.2,45280,-73
192.168.4.3,45296,-74
192.168.4.6,45296,-82
192.168.4.2,45296,-73
192.168.4.3,45312,-72
192.168.4.6,45312,-81
192.168.4.2,45312,-73
192.168.4.3,45328,-73
192.168.4.6,45328,-81
192.168.4.2,45328,-72
192.168.4.3,45344,-74
192.168.4.6,45344,-82
192.168.4.2,45344,-73
192.168.4.3,45376,-72
192.168.4.6,45376,-81
192.168.4.2,45376,-74
192.168.4.3,45392,-71
192.168.4.6,45392,-83
192.168.4.2,45392,-72
192.168.4.3,45424,-72
192.168.4.6,45424,-84
192.168.4.2,45424,-72
192.168.4.3,45440,-74
192.168.4.6,45440,-81
192.168.4.2,45440,-72
192.168.4.3,45472,-72
192.168.4.6,45472,-82
192.168.4.2,45472,-73
192.168.4.3,45488,-71
192.168.4.6,45488,-83
192.168.4.2,45488,-74
192.168.4.3,45520,-74
192.168.4.6,45520,-83
192.168.4.2,45520,-73
192.168.4.3,45536,-73
192.168.4.6,45536,-82
192.168.4.2,45536,-75
192.168.4.3,45552,-73
192.168.4.6,45552,-82
192.168.4.2,45552,-73
192.168.4.3,45568,-73
192.168.4.6,45568,-81
192.168.4.2,45568,-74
192.168.4.3,45600,-72
192.168.4.6,45600,-82
192.168.4.2,45600,-72
192.168.4.3,45616,-73
192.168.4.6,45616,-82
192.168.4.2,45616,-74
192.168.4.3,45632,-73
192.168.4.6,45632,-82
192.168.4.2,45632,-74
192.168.4.3,45648,-73
192.168.4.6,45648,-84
192.168.4.2,45648,-73
192.168.4.3,45680,-73
192.168.4.6,45680,-82
192.168.4.2,45680,-73
192.168.4.3,45696,-73
192.168.4.6,45696,-83
192.168.4.2,45696,-74
192.168.4.3,45744,-75
192.168.4.6,45744,-83
192.168.4.2,45744,-73
192.168.4.3,45760,-73
192.168.4.6,45760,-85
192.168.4.2,45760,-73
192.168.4.6,45840,-82
192.168.4.2,45840,-75
192.168.4.6,45888,-83
192.168.4.2,45888,-73
192.168.4.3,45968,-75
192.168.4.6,45968,-87
192.168.4.3,46032,-75
192.168.4.6,46032,-86
192.168.4.2,46032,-74
192.168.4.6,46048,-86
192.168.4.2,46048,-74
192.168.4.3,46064,-75
192.168.4.6,46064,-86
192.168.4.2,46064,-74
