millis,node,x,y,rssi,distance,target_x,target_y
9,2,50,0,-81.6257,49.968,49.968,49.968
9,4,100,50,-81.6267,50.032,49.968,49.968
9,5,0,50,-81.6257,49.968,49.968,49.968
9,7,50,100,-81.6267,50.032,49.968,49.968
108,2,50,0,-81.534,49.6178,49.6163,49.6163
108,5,0,50,-81.534,49.6178,49.6163,49.6163
108,4,100,50,-81.7184,50.3852,49.6163,49.6163
108,7,50,100,-81.7184,50.3852,49.6163,49.6163
208,2,50,0,-81.4419,49.2683,49.2627,49.2627
208,5,0,50,-81.4419,49.2683,49.2627,49.2627
208,4,100,50,-81.8105,50.7426,49.2627,49.2627
208,7,50,100,-81.8105,50.7426,49.2627,49.2627
308,2,50,0,-81.3499,48.9213,48.9092,48.9092
308,5,0,50,-81.3499,48.9213,48.9092,48.9092
308,4,100,50,-81.9025,51.1025,48.9092,48.9092
308,7,50,100,-81.9025,51.1025,48.9092,48.9092
408,2,50,0,-81.2578,48.5771,48.5556,48.5556
408,5,0,50,-81.2578,48.5771,48.5556,48.5556
408,4,100,50,-81.9946,51.4646,48.5556,48.5556
408,7,50,100,-81.9946,51.4646,48.5556,48.5556
508,2,50,0,-81.1659,48.2356,48.2021,48.2021
508,5,0,50,-81.1659,48.2356,48.2021,48.2021
608,2,50,0,-81.0741,47.8969,47.8485,47.8485
608,5,0,50,-81.0741,47.8969,47.8485,47.8485
708,2,50,0,-80.9824,47.561,47.495,47.495
708,5,0,50,-80.9824,47.561,47.495,47.495
808,2,50,0,-80.8908,47.228,47.1414,47.1414
808,5,0,50,-80.8908,47.228,47.1414,47.1414
908,2,50,0,-80.7995,46.898,46.7879,46.7879
908,5,0,50,-80.7995,46.898,46.7879,46.7879
1008,2,50,0,-80.7083,46.571,46.4343,46.4343
1008,5,0,50,-80.7083,46.571,46.4343,46.4343
1108,2,50,0,-80.6173,46.2471,46.0808,46.0808
1108,5,0,50,-80.6173,46.2471,46.0808,46.0808
1208,2,50,0,-80.5266,45.9264,45.7272,45.7272
1208,5,0,50,-80.5266,45.9264,45.7272,45.7272
1308,2,50,0,-80.4362,45.6089,45.3736,45.3736
1308,5,0,50,-80.4362,45.6089,45.3736,45.3736
1408,2,50,0,-80.3461,45.2947,45.0201,45.0201
1408,5,0,50,-80.3461,45.2947,45.0201,45.0201
1508,2,50,0,-80.2564,44.9838,44.6665,44.6665
1508,5,0,50,-80.2564,44.9838,44.6665,44.6665
1608,2,50,0,-80.167,44.6764,44.313,44.313
1608,5,0,50,-80.167,44.6764,44.313,44.313
1708,2,50,0,-80.078,44.3725,43.9594,43.9594
1708,5,0,50,-80.078,44.3725,43.9594,43.9594
1808,2,50,0,-79.9895,44.0722,43.6059,43.6059
1808,5,0,50,-79.9895,44.0722,43.6059,43.6059
1908,2,50,0,-79.9015,43.7755,43.2523,43.2523
1908,5,0,50,-79.9015,43.7755,43.2523,43.2523
2008,2,50,0,-79.8139,43.4826,42.8988,42.8988
2008,5,0,50,-79.8139,43.4826,42.8988,42.8988
2108,2,50,0,-79.727,43.1934,42.5452,42.5452
2108,5,0,50,-79.727,43.1934,42.5452,42.5452
2208,2,50,0,-79.6406,42.9081,42.1917,42.1917
2208,5,0,50,-79.6406,42.9081,42.1917,42.1917
2308,2,50,0,-79.5548,42.6268,41.8381,41.8381
2308,5,0,50,-79.5548,42.6268,41.8381,41.8381
2408,2,50,0,-79.4697,42.3495,41.4846,41.4846
2408,5,0,50,-79.4697,42.3495,41.4846,41.4846
2508,2,50,0,-79.3854,42.0763,41.131,41.131
2508,5,0,50,-79.3854,42.0763,41.131,41.131
2608,2,50,0,-79.3017,41.8074,40.7775,40.7775
2608,5,0,50,-79.3017,41.8074,40.7775,40.7775
2708,2,50,0,-79.2189,41.5427,40.4239,40.4239
2708,5,0,50,-79.2189,41.5427,40.4239,40.4239
2808,2,50,0,-79.1369,41.2823,40.0703,40.0703
2808,5,0,50,-79.1369,41.2823,40.0703,40.0703
2908,2,50,0,-79.0558,41.0264,39.7168,39.7168
2908,5,0,50,-79.0558,41.0264,39.7168,39.7168
3008,2,50,0,-78.9757,40.7751,39.3632,39.3632
3008,5,0,50,-78.9757,40.7751,39.3632,39.3632
3108,2,50,0,-78.8965,40.5283,39.0097,39.0097
3108,5,0,50,-78.8965,40.5283,39.0097,39.0097
3208,2,50,0,-78.8184,40.2862,38.6561,38.6561
3208,5,0,50,-78.8184,40.2862,38.6561,38.6561
3308,2,50,0,-78.7413,40.0489,38.3026,38.3026
3308,5,0,50,-78.7413,40.0489,38.3026,38.3026
3408,2,50,0,-78.6654,39.8165,37.949,37.949
3408,5,0,50,-78.6654,39.8165,37.949,37.949
3508,2,50,0,-78.5906,39.589,37.5955,37.5955
3508,5,0,50,-78.5906,39.589,37.5955,37.5955
3608,2,50,0,-78.5171,39.3666,37.2419,37.2419
3608,5,0,50,-78.5171,39.3666,37.2419,37.2419
3708,2,50,0,-78.4449,39.1493,36.8884,36.8884
3708,5,0,50,-78.4449,39.1493,36.8884,36.8884
3808,2,50,0,-78.374,38.9372,36.5348,36.5348
3808,5,0,50,-78.374,38.9372,36.5348,36.5348
3908,2,50,0,-78.3045,38.7304,36.1813,36.1813
3908,5,0,50,-78.3045,38.7304,36.1813,36.1813
3908,1,0,0,-81.9379,51.168,36.1813,36.1813
4008,2,50,0,-78.2364,38.5289,35.8277,35.8277
4008,5,0,50,-78.2364,38.5289,35.8277,35.8277
4008,1,0,0,-81.81,50.668,35.8277,35.8277
4108,2,50,0,-78.1698,38.333,35.4742,35.4742
4108,5,0,50,-78.1698,38.333,35.4742,35.4742
4108,1,0,0,-81.6809,50.168,35.4742,35.4742
4208,2,50,0,-78.1048,38.1425,35.1206,35.1206
4208,5,0,50,-78.1048,38.1425,35.1206,35.1206
4208,1,0,0,-81.5505,49.668,35.1206,35.1206
4308,2,50,0,-78.0414,37.9577,34.767,34.767
4308,5,0,50,-78.0414,37.9577,34.767,34.767
4308,1,0,0,-81.4188,49.168,34.767,34.767
4408,2,50,0,-77.9797,37.7787,34.4135,34.4135
4408,5,0,50,-77.9797,37.7787,34.4135,34.4135
4408,1,0,0,-81.2858,48.668,34.4135,34.4135
4508,2,50,0,-77.9196,37.6054,34.0599,34.0599
4508,5,0,50,-77.9196,37.6054,34.0599,34.0599
4508,1,0,0,-81.1513,48.168,34.0599,34.0599
4608,2,50,0,-77.8613,37.438,33.7064,33.7064
4608,5,0,50,-77.8613,37.438,33.7064,33.7064
4608,1,0,0,-81.0155,47.668,33.7064,33.7064
4708,2,50,0,-77.8049,37.2765,33.3528,33.3528
4708,5,0,50,-77.8049,37.2765,33.3528,33.3528
4708,1,0,0,-80.8782,47.168,33.3528,33.3528
4808,2,50,0,-77.7503,37.1211,32.9993,32.9993
4808,5,0,50,-77.7503,37.1211,32.9993,32.9993
4808,1,0,0,-80.7395,46.668,32.9993,32.9993
4908,2,50,0,-77.6976,36.9718,32.6457,32.6457
4908,5,0,50,-77.6976,36.9718,32.6457,32.6457
4908,1,0,0,-80.5993,46.168,32.6457,32.6457
5008,2,50,0,-77.6469,36.8287,32.2922,32.2922
5008,5,0,50,-77.6469,36.8287,32.2922,32.2922
5008,1,0,0,-80.4576,45.668,32.2922,32.2922
5108,2,50,0,-77.5982,36.6918,31.9386,31.9386
5108,5,0,50,-77.5982,36.6918,31.9386,31.9386
5108,1,0,0,-80.3143,45.168,31.9386,31.9386
5208,2,50,0,-77.5516,36.5613,31.5851,31.5851
5208,5,0,50,-77.5516,36.5613,31.5851,31.5851
5208,1,0,0,-80.1694,44.668,31.5851,31.5851
5308,2,50,0,-77.5071,36.4371,31.2315,31.2315
5308,5,0,50,-77.5071,36.4371,31.2315,31.2315
5308,1,0,0,-80.0228,44.168,31.2315,31.2315
5408,2,50,0,-77.4648,36.3194,30.878,30.878
5408,5,0,50,-77.4648,36.3194,30.878,30.878
5408,1,0,0,-79.8747,43.668,30.878,30.878
5508,2,50,0,-77.4246,36.2083,30.5244,30.5244
5508,5,0,50,-77.4246,36.2083,30.5244,30.5244
5508,1,0,0,-79.7248,43.168,30.5244,30.5244
5608,2,50,0,-77.3868,36.1037,30.1709,30.1709
5608,5,0,50,-77.3868,36.1037,30.1709,30.1709
5608,1,0,0,-79.5731,42.668,30.1709,30.1709
5708,2,50,0,-77.3512,36.0057,29.8173,29.8173
5708,5,0,50,-77.3512,36.0057,29.8173,29.8173
5708,1,0,0,-79.4197,42.168,29.8173,29.8173
5808,2,50,0,-77.3179,35.9145,29.4637,29.4637
5808,5,0,50,-77.3179,35.9145,29.4637,29.4637
5808,1,0,0,-79.2644,41.668,29.4637,29.4637
5908,2,50,0,-77.287,35.83,29.1102,29.1102
5908,5,0,50,-77.287,35.83,29.1102,29.1102
5908,1,0,0,-79.1073,41.168,29.1102,29.1102
6008,2,50,0,-77.2585,35.7523,28.7566,28.7566
6008,5,0,50,-77.2585,35.7523,28.7566,28.7566
6008,1,0,0,-78.9483,40.668,28.7566,28.7566
6108,2,50,0,-77.2325,35.6814,28.4031,28.4031
6108,5,0,50,-77.2325,35.6814,28.4031,28.4031
6108,1,0,0,-78.7873,40.168,28.4031,28.4031
6208,2,50,0,-77.2089,35.6174,28.0495,28.0495
6208,5,0,50,-77.2089,35.6174,28.0495,28.0495
6208,1,0,0,-78.6242,39.668,28.0495,28.0495
6308,2,50,0,-77.1877,35.5603,27.696,27.696
6308,5,0,50,-77.1877,35.5603,27.696,27.696
6308,1,0,0,-78.4591,39.168,27.696,27.696
6408,2,50,0,-77.1692,35.5102,27.3424,27.3424
6408,5,0,50,-77.1692,35.5102,27.3424,27.3424
6408,1,0,0,-78.2919,38.668,27.3424,27.3424
6508,2,50,0,-77.1531,35.467,26.9889,26.9889
6508,5,0,50,-77.1531,35.467,26.9889,26.9889
6508,1,0,0,-78.1226,38.168,26.9889,26.9889
6608,2,50,0,-77.1396,35.4309,26.6353,26.6353
6608,5,0,50,-77.1396,35.4309,26.6353,26.6353
6608,1,0,0,-77.9509,37.668,26.6353,26.6353
6708,2,50,0,-77.1287,35.4018,26.2818,26.2818
6708,5,0,50,-77.1287,35.4018,26.2818,26.2818
6708,1,0,0,-77.777,37.168,26.2818,26.2818
6808,2,50,0,-77.1203,35.3797,25.9282,25.9282
6808,5,0,50,-77.1203,35.3797,25.9282,25.9282
6808,1,0,0,-77.6008,36.668,25.9282,25.9282
6908,2,50,0,-77.1146,35.3647,25.5747,25.5747
6908,5,0,50,-77.1146,35.3647,25.5747,25.5747
6908,1,0,0,-77.4221,36.168,25.5747,25.5747
7008,2,50,0,-77.1114,35.3567,25.2211,25.2211
7008,5,0,50,-77.1114,35.3567,25.2211,25.2211
7008,1,0,0,-77.241,35.668,25.2211,25.2211
