millis,node,x,y,rssi,distance,target_x,target_y
9,2,42.5,0,-79.5082,42.4728,42.4728,42.4728
9,4,85,42.5,-79.5093,42.5272,42.4728,42.4728
9,5,0,42.5,-79.5082,42.4728,42.4728,42.4728
9,7,42.5,85,-79.5093,42.5272,42.4728,42.4728
108,2,42.5,0,-79.4166,42.1751,42.1738,42.1738
108,5,0,42.5,-79.4166,42.1751,42.1738,42.1738
108,4,85,42.5,-79.6009,42.8274,42.1738,42.1738
108,7,42.5,85,-79.6009,42.8274,42.1738,42.1738
208,2,42.5,0,-79.3245,41.878,41.8733,41.8733
208,5,0,42.5,-79.3245,41.878,41.8733,41.8733
208,4,85,42.5,-79.693,43.1312,41.8733,41.8733
208,7,42.5,85,-79.693,43.1312,41.8733,41.8733
308,2,42.5,0,-79.2324,41.5831,41.5728,41.5728
308,5,0,42.5,-79.2324,41.5831,41.5728,41.5728
308,4,85,42.5,-79.7851,43.4371,41.5728,41.5728
308,7,42.5,85,-79.7851,43.4371,41.5728,41.5728
408,2,42.5,0,-79.1404,41.2905,41.2723,41.2723
408,5,0,42.5,-79.1404,41.2905,41.2723,41.2723
408,4,85,42.5,-79.8771,43.7449,41.2723,41.2723
408,7,42.5,85,-79.8771,43.7449,41.2723,41.2723
508,2,42.5,0,-79.0485,41.0003,40.9718,40.9718
508,5,0,42.5,-79.0485,41.0003,40.9718,40.9718
508,4,85,42.5,-79.9691,44.0548,40.9718,40.9718
508,7,42.5,85,-79.9691,44.0548,40.9718,40.9718
608,2,42.5,0,-78.9567,40.7123,40.6712,40.6712
608,5,0,42.5,-78.9567,40.7123,40.6712,40.6712
608,4,85,42.5,-80.061,44.3665,40.6712,40.6712
608,7,42.5,85,-80.061,44.3665,40.6712,40.6712
708,2,42.5,0,-78.865,40.4268,40.3707,40.3707
708,5,0,42.5,-78.865,40.4268,40.3707,40.3707
708,4,85,42.5,-80.1527,44.68,40.3707,40.3707
708,7,42.5,85,-80.1527,44.68,40.3707,40.3707
808,2,42.5,0,-78.7734,40.1438,40.0702,40.0702
808,5,0,42.5,-78.7734,40.1438,40.0702,40.0702
808,4,85,42.5,-80.2444,44.9955,40.0702,40.0702
808,7,42.5,85,-80.2444,44.9955,40.0702,40.0702
908,2,42.5,0,-78.682,39.8633,39.7697,39.7697
908,5,0,42.5,-78.682,39.8633,39.7697,39.7697
908,4,85,42.5,-80.3359,45.3127,39.7697,39.7697
908,7,42.5,85,-80.3359,45.3127,39.7697,39.7697
1008,2,42.5,0,-78.5909,39.5854,39.4692,39.4692
1008,5,0,42.5,-78.5909,39.5854,39.4692,39.4692
1008,4,85,42.5,-80.4273,45.6316,39.4692,39.4692
1008,7,42.5,85,-80.4273,45.6316,39.4692,39.4692
1108,2,42.5,0,-78.4999,39.3101,39.1686,39.1686
1108,5,0,42.5,-78.4999,39.3101,39.1686,39.1686
1108,4,85,42.5,-80.5186,45.9523,39.1686,39.1686
1108,7,42.5,85,-80.5186,45.9523,39.1686,39.1686
1208,2,42.5,0,-78.4092,39.0374,38.8681,38.8681
1208,5,0,42.5,-78.4092,39.0374,38.8681,38.8681
1208,4,85,42.5,-80.6097,46.2746,38.8681,38.8681
1208,7,42.5,85,-80.6097,46.2746,38.8681,38.8681
1308,2,42.5,0,-78.3188,38.7676,38.5676,38.5676
1308,5,0,42.5,-78.3188,38.7676,38.5676,38.5676
1308,4,85,42.5,-80.7006,46.5986,38.5676,38.5676
1308,7,42.5,85,-80.7006,46.5986,38.5676,38.5676
1408,2,42.5,0,-78.2287,38.5005,38.2671,38.2671
1408,5,0,42.5,-78.2287,38.5005,38.2671,38.2671
1408,4,85,42.5,-80.7913,46.9242,38.2671,38.2671
1408,7,42.5,85,-80.7913,46.9242,38.2671,38.2671
1508,2,42.5,0,-78.139,38.2363,37.9666,37.9666
1508,5,0,42.5,-78.139,38.2363,37.9666,37.9666
1508,4,85,42.5,-80.8819,47.2514,37.9666,37.9666
1508,7,42.5,85,-80.8819,47.2514,37.9666,37.9666
1608,2,42.5,0,-78.0496,37.975,37.666,37.666
1608,5,0,42.5,-78.0496,37.975,37.666,37.666
1608,4,85,42.5,-80.9722,47.5802,37.666,37.666
1608,7,42.5,85,-80.9722,47.5802,37.666,37.666
1708,2,42.5,0,-77.9606,37.7166,37.3655,37.3655
1708,5,0,42.5,-77.9606,37.7166,37.3655,37.3655
1708,4,85,42.5,-81.0624,47.9104,37.3655,37.3655
1708,7,42.5,85,-81.0624,47.9104,37.3655,37.3655
1808,2,42.5,0,-77.8721,37.4614,37.065,37.065
1808,5,0,42.5,-77.8721,37.4614,37.065,37.065
1808,4,85,42.5,-81.1523,48.2421,37.065,37.065
1808,7,42.5,85,-81.1523,48.2421,37.065,37.065
1908,2,42.5,0,-77.784,37.2092,36.7645,36.7645
1908,5,0,42.5,-77.784,37.2092,36.7645,36.7645
1908,4,85,42.5,-81.242,48.5753,36.7645,36.7645
1908,7,42.5,85,-81.242,48.5753,36.7645,36.7645
2008,2,42.5,0,-77.6965,36.9602,36.464,36.464
2008,5,0,42.5,-77.6965,36.9602,36.464,36.464
2008,4,85,42.5,-81.3314,48.9099,36.464,36.464
